JHT,51800
TMT,51670
VKF,51540
NTT,51410
KDW,51280
BEJ,50890
RNT,50760
DRT,50630
VAG,50500
SEA,50370
MOO,50240
POT,50110
NRE,49980
REK,49850
ASD,49720
CXZ,49590
EWW,49460
POS,49330
AYU,49200
TAN,49070
TEL,48940
HDR,48810
XBO,32000
LAM,48680
MUG,48550
SNA,32000
WAL,48420
DOO,48290
PLA,48160
PIC,48030
MIR,47900
RUG,47770
POW,47640
GAM,32000
TAB,47510
FIR,47380
ORN,47250
JEA,47120
DRE,46990
BIN,46860
LAP,46730
SIN,46600
TAP,46470
SAU,46340
WAS,46210
DOR,46080
STE,45950
PHI,45820
KIE,45560
CDR,45430
DES,45300
CAR,45170
GTI,45040
DVD,44910
ELE,44780
MSP,44650
TIL,44520
CON,44390
CHE,44260
MAR,44130
RHI,44000
ALB,43870
MAL,43740
GBR,43610
HAN,43480
KIT,43350
PLA,43220
BUB,42960
BOB,42830
PAC,42700
POL,42570
POS,42440
ACE,42310
OBL,42180
PAR,42050
SEG,41920
RAL,41790
BUR,41660
JUS,41530
DAV,41400
ROS,41270
GWE,41140
HBO,41010
OUT,40880
RUN,40750
TWO,40620
PGR,40490
MOT,40360
TOM,40230
MID,40100
PSP,39970
GAM,39710
SHE,39580
OUT,39450
PAN,39320
HEW,39190
HBO,39060
TEA,38930
PER,38800
OVE,38670
IVG,38540
BIL,38410
BOM,38280
MIE,38150
SCO,38020
VAN,37890
MAG,37760
TRE,37630
KAN,37500
HAY,37370
SIL,37240
ZET,37110
FOR,36980
COR,36850
ROV,36720
MET,36590
MGM,36460
RED,36330
WHE,36200
ALL,36070
SEV,35940
TRA,35810
KRA,35680
MIS,35550
PAB,35420
EVE,35290
ORA,35160
FIV,35030
FOU,34900
OBE,34770
ELT,34640
ONE,34510
TWO,34380
SAT,34250
STU,34120
CAR,33990
RAC,33860
FOR,33730
GRA,33600
PRI,33470
LOT,33340
ESP,33210
TUR,33080
CHA,32950
JAG,32820
XJT,32690
TSI,32560
GTA,32430
CLA,32300
DOC,32170
RAY,32040
ALL,31910
SPO,31780
REE,31650
BOR,31520
HAR,31390
PAN,31260
RIC,31330
MAR,31000
DOM,30870
COL,30740
CHR,30610
EAT,30480
TOM,30350
DUN,30220
MAR,30090
JOH,29960
KYL,29830
MIN,29700
JAS,29570
STA,29440
VIN,29310
DIE,29180
ALI,29050
FER,28920
DOC,28790
RIC,28660
JAC,28530
DEL,28400
APP,28270
SUP,28140
POR,28010
SER,27880
BRE,27750
WHA,27620
KIL,27490
SEA,27360
CRO,27230
WHI,27100
AUS,26970
COL,26840
OAK,26710
ROU,26580
MOR,26450
JON,26420
MEA,26320
HEA,26190
SCO,26060
HAL,25930
WOR,25800
ARM,25670
WEE,25540
FAR,25410
HYD,25280
WOO,25150
HAR,25020
PAN,24890
DIC,24760
RAC,24630
NEI,24500
KEV,24370
DAN,24240
AND,24110
HAR,23980
BRO,23850
TAL,23720
OVA,23590
SRI,23460
RIM,23330
EIG,23200
DUA,23070
EDT,22940
GEO,22810
SED,22680
ICE,22550
SUB,22420
PHP,22290
CVS,22160
GIT,22030
HUB,21900
MAC,21770
BUR,21640
WIM,21510
TES,21380
DAR,21250
SHA,21120
GIT,20990
PRA,20860
CJB,20730
DMW,20600
AUD,20470
VOL,20340
BRI,20210
SIM,20080
CIT,19950
FRE,19820
STA,19690
FSF,19560
LIN,19430
TOR,19300
JED,19170
CHE,19040
COL,18910
VID,18780
KIL,18650
THE,18520
RAD,18390
STA,18260
LLA,18130
YSG,18000
BAN,17870
MAC,17740
ADA,17610
BET,17480
BAB,17350
INS,17220
MIN,17090
LED,16960
AUC,16830
DEB,16700
HEN,16570
NAV,16440
RAS,16310
CAT,16180
LIL,16050
BLA,15920
NTY,15790
ZOM,15660
BUR,15530
CRA,15400
PRO,15270
DNN,15140
CUN,15010
JON,14880
HOL,14750
FRA,14620
WAX,14490
DIF,14360
PHO,14230
SHA,14100
KIM,13970
FAT,13840
REF,13710
WAY,13580
TIC,13450
ENG,13320
FRA,13190
GER,13060
WAL,12930
SCO,12800
